西营房  3室1厅  110平米  东,安定门租房/高楼层(共19层)/2006年建塔楼,10500元/月,https://bj.lianjia.com/xiaoqu/1111027381347/
国瑞城中区  2室1厅  76平米  南 北,崇文门租房/低楼层(共16层)/2006年建板塔结合,8200元/月,https://bj.lianjia.com/xiaoqu/1111027374691/
青年沟  2室2厅  78平米  南 北,和平里租房/中楼层(共6层)/1996年建板楼,6800元/月,https://bj.lianjia.com/xiaoqu/1111027378881/
小黄庄一区  2室1厅  55平米  东 西,安贞租房/中楼层(共6层)/1994年建板楼,6400元/月,https://bj.lianjia.com/xiaoqu/1111027380911/
和平里三区  1室1厅  41平米  西南,和平里租房/高楼层(共6层)/1996年建板楼,4500元/月,https://bj.lianjia.com/xiaoqu/1111027375204/
和平里五区  2室1厅  55平米  南 北,和平里租房/高楼层(共6层)/1996年建板楼,6500元/月,https://bj.lianjia.com/xiaoqu/1111027375206/
左安浦园  2室1厅  85平米  西南,左安门租房/中楼层(共18层)/2004年建板楼,6500元/月,https://bj.lianjia.com/xiaoqu/1111027382283/
芳嘉园胡同  1室1厅  50平米  西,朝阳门内租房/高楼层(共6层)/2003年建板楼,6400元/月,https://bj.lianjia.com/xiaoqu/1111027374267/
万国城MOMA  1室1厅  91平米  南,东直门租房/中楼层(共26层)/2002年建板塔结合,14000元/月,https://bj.lianjia.com/xiaoqu/1111027380242/
西青年沟  2室1厅  50平米  南 北,安贞租房/高楼层(共6层)/1987年建板楼,6000元/月,https://bj.lianjia.com/xiaoqu/1111027381096/
民旺园  2室1厅  58平米  南,和平里租房/高楼层(共5层)/1980年建板楼,6200元/月,https://bj.lianjia.com/xiaoqu/1111027378417/
小黄庄一区  1室1厅  49平米  南,安贞租房/低楼层(共12层)/1993年建板塔结合,4900元/月,https://bj.lianjia.com/xiaoqu/1111027380911/
新奥洋房  1室1厅  45平米  北,永定门租房/高楼层(共8层)/2005年建板楼,5000元/月,https://bj.lianjia.com/xiaoqu/1111027380567/
民安小区东直门内北小街  2室1厅  80平米  东 西,东直门租房/中楼层(共16层)/2003年建板楼,8300元/月,https://bj.lianjia.com/xiaoqu/1111027374075/
豆瓣胡同  1室1厅  55平米  东,朝阳门内租房/低楼层(共21层)/2003年建板楼,7000元/月,https://bj.lianjia.com/xiaoqu/1111027376748/
华龙美晟  2室1厅  76平米  南,永定门租房/低楼层(共12层)/2009年建塔楼,5900元/月,https://bj.lianjia.com/xiaoqu/1111027375142/
东环居苑  2室1厅  82平米  西南,广渠门租房/高楼层(共22层)/2004年建塔楼,7000元/月,https://bj.lianjia.com/xiaoqu/1111027376918/
大方家胡同  2室1厅  76平米  南 北,朝阳门内租房/高楼层(共16层)/2003年建板塔结合,8600元/月,https://bj.lianjia.com/xiaoqu/1111027376836/
黄寺大街28号院  3室1厅  81平米  东北,安定门租房/低楼层(共15层)/1989年建塔楼,9500元/月,https://bj.lianjia.com/xiaoqu/1111027375258/
安外西河沿  2室1厅  47平米  南 北,安定门租房/中楼层(共11层)/1983年建板楼,5500元/月,https://bj.lianjia.com/xiaoqu/1111027380887/
东环居苑  1室1厅  62平米  东,广渠门租房/低楼层(共22层)/2004年建塔楼,5800元/月,https://bj.lianjia.com/xiaoqu/1111027376918/
胡家园小区  2室1厅  55平米  南,东直门租房/高楼层(共6层)/1985年建板楼,6000元/月,https://bj.lianjia.com/xiaoqu/1111027375114/
化工大院  2室1厅  62平米  南,和平里租房/中楼层(共5层)/1988年建板楼,6800元/月,https://bj.lianjia.com/xiaoqu/1111027374981/
安外东河沿  2室1厅  61平米  南,安定门租房/低楼层(共12层)/1990年建板塔结合,6000元/月,https://bj.lianjia.com/xiaoqu/1111027375656/
朝阳首府  3室1厅  183平米  南 北,朝阳门内租房/低楼层(共11层)/2009年建板楼,26000元/月,https://bj.lianjia.com/xiaoqu/1111027376676/
华龙美晟  2室1厅  88平米  东 西,永定门租房/高楼层(共12层)/2009年建板塔结合,6200元/月,https://bj.lianjia.com/xiaoqu/1111027375142/
灯市口西街  3室1厅  77平米  南 北,灯市口租房/高楼层(共6层)/1989年建板楼,11000元/月,https://bj.lianjia.com/xiaoqu/1111027373855/
东方财富  1室0厅  44平米  西,广渠门租房/低楼层(共15层)/2006年建板塔结合,5000元/月,https://bj.lianjia.com/xiaoqu/1111027376828/
北官厅胡同甲二号院  2室1厅  61平米  南 北,东直门租房/中楼层(共6层)/1993年建板楼,6800元/月,https://bj.lianjia.com/xiaoqu/1111027375829/
豆瓣胡同  2室1厅  71平米  东 西,朝阳门内租房/低楼层(共12层)/2003年建板楼,8600元/月,https://bj.lianjia.com/xiaoqu/1111027376748/
朝阳门内大街75号院  1室1厅  80平米  东 西,朝阳门内租房/低楼层(共6层)/1990年建板楼,10500元/月,https://bj.lianjia.com/xiaoqu/1111027376669/
万国城MOMA  2室2厅  109平米  东 北,东直门租房/未知楼层(共26层)/2002年建板塔结合,15000元/月,https://bj.lianjia.com/xiaoqu/1111027380242/
左安漪园  3室2厅  160平米  南 北,左安门租房/低楼层(共14层)/2004年建板楼,14000元/月,https://bj.lianjia.com/xiaoqu/1111027382286/
远洋德邑  2室1厅  102平米  东,广渠门租房/高楼层(共14层)/2002年建板塔结合,9300元/月,https://bj.lianjia.com/xiaoqu/1111027382190/
东环居苑  2室1厅  76平米  东南,广渠门租房/低楼层(共22层)/2004年建塔楼,7300元/月,https://bj.lianjia.com/xiaoqu/1111027376918/
新裕家园  3室2厅  125平米  南 北,崇文门租房/中楼层(共14层)/2004年建板塔结合,17000元/月,https://bj.lianjia.com/xiaoqu/1111027381367/
中海紫御公馆  2室2厅  92平米  南,陶然亭租房/高楼层(共22层)/2010年建板塔结合,12000元/月,https://bj.lianjia.com/xiaoqu/1111027382485/
幸福家园二期  1室1厅  72平米  南,广渠门租房/高楼层(共13层)/2003年建板塔结合,7500元/月,https://bj.lianjia.com/xiaoqu/1111043313755/
